Processes: 742 total, 3 running, 739 sleeping, 3274 threads 
2025/11/07 10:47:23
Load Avg: 1.92, 1.87, 1.78 
CPU usage: 4.86% user, 10.61% sys, 84.51% idle 
SharedLibs: 856M resident, 184M data, 131M linkedit.
MemRegions: 350801 total, 8305M resident, 423M private, 3747M shared.
PhysMem: 23G used (2124M wired, 3841M compressor), 153M unused.
VM: 314T vsize, 5702M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 5486966/4297M in, 1807296/1837M out.
Disks: 1126483/22G read, 732951/34G written.

PID    COMMAND          %CPU TIME     #TH    #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS  COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES JETPRI USER                  #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
99750  RunCat           0.0  00:28.99 5/1    3/1  197    38M   42M   10M   99750 1     running  *0[173]      0.00000 0.00000    501 21243   551   451484   220195   287462   491992    48311     316     3510    0.0   0      0      100    awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
95912  com.apple.WebKit 0.0  00:22.61 8      1/1  77     324M  0B    318M  95912 1     sleeping  0[17849]    0.00000 0.00000    501 94267   581   73822    65935    204696   552251    132248    273     4177    0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
95792  ReportCrash      0.0  00:00.01 3      1    32     2176K 0B    1888K 95792 1     sleeping *0[1]        0.00000 0.00000    0   655     129   88       38       383      249       33        5       0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
95791  XprotectService  0.0  01:01.56 2      1    36     4144K 0B    1168K 95791 1     sleeping *0[499]      0.00000 0.00000    0   217535  175   2684     2076     5479895  6476      19042     63586   2       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
91243  nbstated         0.0  00:00.05 2      1    34     2080K 0B    1792K 91243 1     sleeping  0[0]        0.00000 0.00000    0   782     115   71       30       497      193       33        2       1       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
91242  CloudTelemetrySe 0.0  00:00.08 2      1    39     5376K 0B    4912K 91242 1     sleeping  0[0]        0.00000 0.00000    501 1374    147   143      49       1634     350       486       9       34      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
91241  nbagent          0.0  00:00.39 3      1    185    10M   0B    5472K 91241 1     sleeping *0[206]      0.00000 0.00000    501 5206    270   3278     1245     12747    11035     5724      24      435     0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
86256  com.apple.WebKit 0.0  03:17.74 8      2    147    624M  0B    50M   86256 1     sleeping  0[58941]    0.00000 0.00000    501 300327  585   651371   565963   1513898  4003341   956834    295     36749   0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
86062  ReportSystemMemo 0.0  00:00.02 2      1    31     2352K 0B    2016K 86062 1     sleeping  0[0]        0.00000 0.00000    302 761     122   102      37       536      249       212       4       0       0.0   0      0      0      _reportsystemmemory   N/A    N/A   N/A   N/A   N/A   N/A  
80176  com.apple.WebKit 0.0  00:14.00 11     2/1  83     202M  0B    32M   80176 1     sleeping *51[2726]    0.00000 0.00000    501 71889   575   22343    16835    101472   184203    53205     309     1400    0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
78766  VTEncoderXPCServ 0.0  00:08.76 2      1    60     8753K 0B    8160K 78766 1     sleeping *0[46]       0.00000 0.00000    501 29681   192   137822   91812    173149   276936    108599    52      13      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
78765  VTDecoderXPCServ 0.0  00:13.44 2      1    70     4144K 0B    3648K 78765 1     sleeping *0[4]        0.00000 0.00000    501 12907   193   578060   302656   264722   578986    169456    30      155     0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
78604  com.apple.audio. 0.0  00:00.04 2      1    25     3184K 0B    2912K 78604 1     sleeping *0[2]        0.00000 0.00000    501 901     160   107      41       521      290       52        2       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
78523  mediaanalysisd-a 0.0  00:00.21 3      2    47     8657K 0B    8160K 78523 1     sleeping *0[2]        0.00000 0.00000    501 1517    139   164      68       15722    490       308       3       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
75447  mlruntimed       0.0  00:00.04 2      1    34     2400K 0B    2080K 75447 1     sleeping *0[1]        0.00000 0.00000    501 900     126   118      39       589      284       93        7       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
75136  PerfPowerTelemet 0.0  00:00.05 2      1    23     3056K 0B    2720K 75136 1     sleeping  0[0]        0.00000 0.00000    0   1029    130   88       39       1619     414       90        14      0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
74167  microstackshot   0.0  00:00.02 2      1    32     2112K 0B    1808K 74167 1     sleeping  0[0]        0.00000 0.00000    0   727     120   109      41       569      275       91        2       0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
72889  FPCKService      0.0  00:00.29 3      2    39     7265K 0B    6736K 72889 1     sleeping *0[2]        0.00000 0.00000    501 1855    201   242      117      17953    3512      357       23      1       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
71926  managedcorespotl 0.0  00:00.23 4      2    60     9153K 0B    7792K 71926 1     sleeping *0[1]        0.00000 0.00000    501 2978    205   2196     1234     5664     2663      2081      23      19      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
71904  avatarsd         0.0  00:00.27 2      1    78     7553K 0B    6288K 71904 1     sleeping *0[2]        0.00000 0.00000    501 3318    292   790      623      11569    1999      2784      75      16      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
71877  IMAutomaticHisto 0.0  00:00.13 2      1    66     5072K 0B    4640K 71877 1     sleeping  0[0]        0.00000 0.00000    501 2182    206   474      159      2825     1443      1139      3       36      0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70593  mdsync           0.0  00:00.04 2      1    38     2656K 0B    2352K 70593 1     sleeping *0[1]        0.00000 0.00000    0   907     140   88       30       483      224       58        7       0       0.0   0      0      40     root                  N/A    N/A   N/A   N/A   N/A   N/A  
70572  PlugInLibrarySer 0.0  00:00.02 2      1    24     1936K 0B    1648K 70572 1     sleeping  0[0]        0.00000 0.00000    501 622     116   102      39       435      243       61        9       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70498  AMPArtworkAgent  0.0  00:00.05 2      1    48     4432K 0B    4160K 70498 1     sleeping  0[0]        0.00000 0.00000    501 1224    165   160      63       1439     446       282       47      1       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70497  com.apple.BKAgen 0.0  00:00.05 2      1    54     3616K 0B    3232K 70497 1     sleeping  0[0]        0.00000 0.00000    501 1295    153   171      51       1245     399       370       33      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70496  PodcastContentSe 0.0  00:00.04 2      1    45     3616K 0B    3200K 70496 1     sleeping *0[7]        0.00000 0.00000    501 1058    164   175      59       814      373       269       44      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70491  AMPLibraryAgent  0.0  00:01.05 5      1    121    10M   0B    7200K 70491 1     sleeping *0[8]        0.00000 0.00000    501 7725    260   3034     1062     24374    9036      10282     1338    495     0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70490  media-indexer    0.0  00:00.23 2      1    54     4816K 0B    4368K 70490 1     sleeping  0[0]        0.00000 0.00000    501 2842    162   186      52       4717     415       1152      12      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70076  CategoriesServic 0.0  00:00.30 2      1    63     6464K 0B    5504K 70076 1     sleeping *0[2]        0.00000 0.00000    501 2909    168   249      85       12041    600       2183      7       314     0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
70073  sysdiagnosed     0.0  00:00.02 2      1    34     2896K 0B    2528K 70073 1     sleeping *0[1]        0.00000 0.00000    0   858     128   105      40       544      235       89        9       0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
70072  cfprefsd         0.0  00:00.04 2      1    22     2128K 0B    1872K 70072 1     sleeping *0[5]        0.00000 0.00000    296 852     117   115      52       850      289       107       2       1       0.0   0      0      0      _neuralengine         N/A    N/A   N/A   N/A   N/A   N/A  
69984  distnoted        0.0  00:00.35 3      2    30     1840K 0B    1072K 69984 1     sleeping *0[1]        0.00000 0.00000    296 2073    117   100      2290     26944    2507      5449      2       50      0.0   0      0      40     _neuralengine         N/A    N/A   N/A   N/A   N/A   N/A  
69983  ANEStorageMainta 0.0  00:00.01 2      1    25     2176K 0B    1904K 69983 1     sleeping  0[0]        0.00000 0.00000    296 691     122   101      38       457      237       103       2       1       0.0   0      0      0      _neuralengine         N/A    N/A   N/A   N/A   N/A   N/A  
